region,representative_location,latitude,longitude,weather_date,weather_code,temperature_max_c,temperature_min_c,temperature_mean_c,precipitation_mm,precipitation_hours,wind_speed_max_kmh,wind_gust_max_kmh,is_rain_day,is_heavy_rain_day,rain_category
"Canterbury","Christchurch",-43.5321,172.6362,2024-01-04 00:00:00.000,3,21.7,12.4,18.1,0,0,20.3,42.8,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-01-07 00:00:00.000,3,22.3,11.6,16.4,0,0,25.7,48.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-01-08 00:00:00.000,3,24,14.8,19.4,0,0,21.1,37.8,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-01-09 00:00:00.000,3,22.8,13.4,17.7,0,0,24.2,46.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-01-11 00:00:00.000,3,29.4,14,22.2,0,0,31.4,57.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-01-12 00:00:00.000,3,20.7,15.7,18.4,0,0,29.9,56.9,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-01-13 00:00:00.000,3,26.7,15,20.5,0,0,24.3,43.9,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-01-14 00:00:00.000,3,27.8,19,23.1,0,0,34,73.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-01-17 00:00:00.000,3,25.5,14.5,18.3,0,0,23.8,46.8,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-01-20 00:00:00.000,3,29.3,18.1,24,0,0,33.4,61.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-01-21 00:00:00.000,3,23.9,14.2,19.1,0,0,20.7,40,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-01-22 00:00:00.000,3,26.8,17,21.1,0,0,26.3,50,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-01-26 00:00:00.000,3,21.6,14.3,18.6,0,0,30.3,52.9,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-01-29 00:00:00.000,3,19.8,12,16.4,0,0,31.9,59,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-01-30 00:00:00.000,3,20.6,11.2,16.3,0,0,17.7,38.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-02-04 00:00:00.000,3,26.3,8.6,17.4,0,0,30.4,56.5,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-02-05 00:00:00.000,3,29.6,15.6,21.4,0,0,29.4,53.6,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-02-06 00:00:00.000,3,30.5,17.3,23.4,0,0,19.6,37.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-02-07 00:00:00.000,3,24.3,16.1,20.2,0,0,20.1,36,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-02-12 00:00:00.000,3,17.3,7.5,13.4,0,0,22,42.1,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-02-16 00:00:00.000,3,18.6,13.4,15.9,0,0,21.4,42.1,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-02-17 00:00:00.000,3,22.2,15.6,18.4,0,0,18,32.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-02-18 00:00:00.000,3,21,13,17.3,0,0,22.9,45.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-02-21 00:00:00.000,3,19.1,8.5,14.1,0,0,22.6,44.6,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-02-22 00:00:00.000,3,19.2,13.1,15.7,0,0,22.2,44.3,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-02-23 00:00:00.000,3,22.4,11.5,15.8,0,0,19.5,39.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-02-29 00:00:00.000,3,18.9,12.1,14.7,0,0,21.4,42.5,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-03-01 00:00:00.000,3,20.6,13.8,16.6,0,0,20.4,39.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-03-03 00:00:00.000,3,21.5,12.8,16.7,0,0,28.3,52.9,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-03-06 00:00:00.000,3,18.1,8.6,13.5,0,0,33.4,61.9,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-03-07 00:00:00.000,3,24.8,12.9,18.2,0,0,32,58.7,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-03-08 00:00:00.000,3,18.3,13.7,15.2,0,0,29.4,54,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-03-09 00:00:00.000,3,17.5,11.2,13.9,0,0,26.9,51.5,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-03-10 00:00:00.000,3,23.1,8.7,16.4,0,0,21.1,37.1,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-03-14 00:00:00.000,3,19.9,11.8,15.1,0,0,20.5,39.6,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-03-16 00:00:00.000,3,16.7,4.2,11.2,0,0,19.4,34.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-03-21 00:00:00.000,3,18.3,12.5,14.9,0,0,26.4,45.7,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-03-22 00:00:00.000,3,19.1,8.9,13.1,0,0,23.3,45,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-03-23 00:00:00.000,3,17.1,8.3,12.6,0,0,14.1,29.9,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-03-25 00:00:00.000,3,23.5,12.9,18.1,0,0,26.7,49.3,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-03-26 00:00:00.000,3,18,12.2,14.2,0,0,25.5,48.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-03-31 00:00:00.000,3,15.6,9.6,12.3,0,0,10.4,21.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-04-01 00:00:00.000,3,14.9,9.5,12.1,0,0,15.4,31.3,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-04-02 00:00:00.000,3,15.3,8.7,12.1,0,0,17.7,30.6,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-04-03 00:00:00.000,3,20.8,11.7,15.4,0,0,18.4,34.9,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-04-06 00:00:00.000,3,17.2,7.9,12.4,0,0,8.5,18.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-04-08 00:00:00.000,3,17.8,9.4,13.3,0,0,17.9,35.6,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-04-14 00:00:00.000,3,15.9,8.4,11.7,0,0,14.9,27.7,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-04-15 00:00:00.000,3,15.1,10,12.2,0,0,18.2,33.8,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-04-16 00:00:00.000,3,18.1,7.8,12.8,0,0,11.9,25.6,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-04-17 00:00:00.000,3,15,9.8,12,0,0,18.9,33.5,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-04-19 00:00:00.000,3,18.6,9.4,12.9,0,0,12.5,21.6,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-04-21 00:00:00.000,3,16.2,6.8,11.2,0,0,17.9,33.5,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-04-23 00:00:00.000,3,15.2,5.8,10.7,0,0,15.2,31.3,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-04-24 00:00:00.000,3,20.1,10.4,14.1,0,0,19.5,33.5,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-04-29 00:00:00.000,3,16.2,7.1,11.1,0,0,14,28.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-05-03 00:00:00.000,3,14.4,4.3,8.8,0,0,23.2,42.5,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-05-05 00:00:00.000,3,13.7,6.6,10.8,0,0,16.3,28.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-05-13 00:00:00.000,3,12,2.5,7.6,0,0,12.3,22,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-05-14 00:00:00.000,3,13.3,6.7,9.2,0,0,13.3,27.7,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-05-15 00:00:00.000,3,15.7,5.5,9.9,0,0,11.5,24.1,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-05-16 00:00:00.000,3,16.7,4.7,8.6,0,0,34.2,65.5,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-05-17 00:00:00.000,3,13.6,4,8.7,0,0,18.3,37.1,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-05-23 00:00:00.000,3,10.6,5.1,7.8,0,0,19,34.9,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-05-24 00:00:00.000,3,9.5,2.4,6,0,0,17.8,33.8,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-05-25 00:00:00.000,3,14.3,2.2,7.6,0,0,12,24.5,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-05-28 00:00:00.000,3,11.4,1.4,6,0,0,11.3,16.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-05-30 00:00:00.000,3,11.9,1.5,6.6,0,0,11.3,29.9,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-05-31 00:00:00.000,3,17.2,6.1,11.4,0,0,15.8,27.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-06-02 00:00:00.000,3,11.4,6.5,8.9,0,0,21.5,40,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-06-03 00:00:00.000,3,12.8,4.4,7.7,0,0,17.8,33.1,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-06-04 00:00:00.000,3,15.1,2.4,7.8,0,0,10.6,20.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-06-05 00:00:00.000,3,11.9,3.9,8.8,0,0,20.3,38.5,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-06-06 00:00:00.000,3,16.7,4.8,10,0,0,14.8,27.7,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-06-07 00:00:00.000,3,14.6,5.7,9,0,0,11.8,20.5,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-06-08 00:00:00.000,3,11.1,4.3,8.4,0,0,23.8,43.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-06-12 00:00:00.000,3,9.3,1.1,6.1,0,0,23.9,41.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-06-22 00:00:00.000,3,11.7,5.6,8.5,0,0,15.4,30.6,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-06-30 00:00:00.000,3,10.6,2.9,7.2,0,0,23.4,40,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-07-04 00:00:00.000,3,9.6,1.3,5.7,0,0,12.4,22.3,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-07-05 00:00:00.000,3,8.9,2.2,5.9,0,0,11.2,19.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-07-08 00:00:00.000,3,12.6,2.2,6.6,0,0,11.1,20.9,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-07-09 00:00:00.000,3,10.5,3.9,7,0,0,19.7,36.4,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-07-10 00:00:00.000,3,7.6,2.6,5.2,0,0,16.9,31.7,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-07-11 00:00:00.000,3,10.4,2,6.1,0,0,12.2,23.8,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-07-17 00:00:00.000,3,8.5,4.7,7.3,0,0,6.9,16.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-07-18 00:00:00.000,3,11.1,7.1,8.8,0,0,13.4,25.6,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-07-19 00:00:00.000,3,11.1,7.6,9.6,0,0,21.4,39.6,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-07-21 00:00:00.000,3,10,3.8,7.3,0,0,21.6,39.2,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-07-23 00:00:00.000,3,10.1,6,8.2,0,0,30.6,57.6,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-07-25 00:00:00.000,3,13.5,3.9,8.2,0,0,10.5,20.5,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-07-26 00:00:00.000,3,13.8,3.2,8,0,0,10.7,15.8,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-07-27 00:00:00.000,3,17.3,4.7,10.1,0,0,11.6,20.5,False,False,"Dry"
"Canterbury","Christchurch",-43.5321,172.6362,2024-08-02 00:00:00.000,3,9.3,2.1,5.2,0,0,15.6,30.6,False,False,"Dry"
